place,title,time,pay,date
전남 나주시,스타벅스커피 코리아 전남나주점,06:30~24:00,"시급8,800",8분전
경기 여주시,스타벅스커피 코리아 여주P.아울렛입구,09:30~22:00,"시급8,800",10분전
경기 여주시,스타벅스커피 코리아 여주P.아울렛,09:00~22:00,"시급8,800",14분전
광주 광산구,스타벅스커피 코리아 광주쌍암점,06:30~21:30,"시급8,800",22분전
광주 북구,스타벅스커피 코리아 광주일곡,07:00~24:00,"시급8,800",28분전
광주 북구,스타벅스커피 코리아 광주용두DT점,06:30~00:00,"시급8,800",28분전
광주 북구,스타벅스커피 코리아 광주운암DT점,07:00~23:00,"시급8,800",40분전
경기 평택시,스타벅스커피 코리아 평택서정DT점,06:00~24:00,"시급8,800",55분전
경기 광명시,스타벅스커피 코리아 광명소하,07:00~22:00,"시급8,800",1시간전
경기 여주시,스타벅스커피 코리아 여주P.아울렛,09:00~22:00,"시급8,800",1시간전
전남 여수시,스타벅스커피 코리아 여수웅천점,08:30~23:00,"시급8,800",2시간전
제주 전체,스타벅스커피 코리아 제주송악산점,08:30~18:30,"시급8,800",2시간전
전남 여수시,스타벅스커피 코리아 스타벅스 여수해양,08:00~23:00,"시급8,800",2시간전
경기 화성시,스타벅스커피 코리아 신영통DT점,06:30~24:00,"시급8,800",2시간전
충북 전체,스타벅스커피 코리아 청주성화점,07:30~23:00,"시급8,800",2시간전
전남 여수시,스타벅스커피 코리아 여수여천점,06:30~23:00,"시급8,800",2시간전
전남 여수시,스타벅스커피 코리아 여수웅천점,08:30~23:00,"시급8,800",2시간전
전남 여수시,스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",3시간전
경기 여주시,스타벅스커피 코리아 여주P.아울렛,09:00~22:00,"시급8,800",3시간전
전남 여수시,스타벅스커피 코리아 여수둔덕DT,06:30~24:00,"시급8,800",3시간전
서울 은평구,연신내역사거리,06:30~24:00,"시급8,800",4시간전
전북 익산시,익산모현,07:00~24:00,"시급8,800",4시간전
전북 익산시,스타벅스커피 코리아 익산영등DT,07:00~24:00,"시급8,800",4시간전
경기 평택시,스타벅스커피 코리아 평택AK플라자점,06:00~23:00,"시급8,800",4시간전
전남 순천시,스타벅스커피 코리아 스타벅스 순천연향,07:00~24:00,"시급8,800",5시간전
광주 광산구,스타벅스커피 코리아 광주송정역,06:00~24:00,"시급8,800",04/19
광주 서구,스타벅스커피 코리아 광주동림점,07:00~23:00,"시급8,800",04/19
전남 여수시,스타벅스커피 코리아 여수여서점,08:00~23:00,"시급8,800",04/18
경기 이천시,스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급8,800",04/18
전남 나주시,스타벅스커피 코리아 전남나주점,06:30~24:00,"시급8,800",04/18
경기 이천시,스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급8,800",04/17
경기 성남시,스타벅스커피 코리아 수지동천점,06:30~24:00,"시급8,800",04/17
충남 논산시,스타벅스커피 코리아 논산중앙점,07:30~24:00,"시급8,800",04/17
경기 고양시,스타벅스커피 코리아 웨스턴돔B점,07:00~23:00,"시급8,800",04/16
충북 청주시,청주오송,06:30~24:00,"시급8,800",04/16
전남 순천시,스타벅스커피 코리아 순천신대,06:30~11:00,"시급8,800",04/16
경기 하남시,스타벅스커피 코리아 하남유니온스퀘어(,08:00~24:00,"시급8,800",04/16
전남 여수시,스타벅스커피 코리아 여수웅천점,08:30~23:00,"시급8,800",04/16
광주 서구,스타벅스커피 코리아 신세계광주패션몰점,07:00~24:00,"시급8,800",04/15
전남 여수시,스타벅스커피 코리아 여수둔덕DT,06:30~24:00,"시급8,800",04/15
